date,open,high,low,close,volume,return,volatility_20d
2000-10-31,1974.527,1979.994,1956.417,1961.287,909042200,-0.006227775137339409,0.0084320680964803
2000-11-01,1961.081,1977.373,1959.721,1977.363,850194000,0.008196658622628972,0.008095518455221733
2000-11-02,1981.765,1992.857,1980.887,1984.26,893385100,0.003487978686766091,0.007332274818772603
2000-11-03,1984.986,1989.106,1977.21,1981.631,932081800,-0.0013249271768820403,0.007089358684364781
2000-11-06,1983.073,1992.879,1982.751,1991.173,999681900,0.004815225438035586,0.007118145353737926
2000-11-07,1993.454,1997.077,1990.059,1997.077,789874700,0.0029650864088655027,0.006541429839799609
2000-11-08,1999.153,2012.988,1998.345,2012.908,925427200,0.00792708543536369,0.006548607390790272
2000-11-09,2016.22,2032.518,2014.838,2032.482,1405162800,0.009724239756610853,0.006611533179299873
2000-11-10,2037.084,2051.341,2033.627,2047.458,1396590000,0.007368330937248313,0.00647782092852625
2000-11-13,2054.479,2071.689,2053.44,2070.788,1440877700,0.011394617130119356,0.006142087982078912
2000-11-14,2072.793,2085.118,2055.212,2085.118,1244877700,0.006920071006785822,0.0061675563977459215
2000-11-15,2087.277,2092.65,2074.377,2081.905,1333426700,-0.0015409199863027911,0.006274941841566938
2000-11-16,2081.139,2096.048,2080.608,2095.984,1282182000,0.006762556408673737,0.005936969373360405
2000-11-17,2098.888,2104.699,2084.899,2093.235,1180132600,-0.0013115558134030314,0.0051904531539535784
2000-11-20,2092.591,2101.398,2078.277,2101.389,1310295900,0.003895405914768224,0.005163655815336676
2000-11-21,2104.068,2112.912,2095.582,2097.982,1247971900,-0.0016213085725680365,0.005178757677342771
2000-11-22,2097.281,2113.348,2091.624,2113.303,1214670700,0.007302731863285672,0.00498355244861232
2000-11-23,2119.156,2125.724,2109.219,2119.439,1249207700,0.0029035117065561167,0.004599741223975861
2000-11-24,2119.01,2125.406,2045.514,2053.37,1649756100,-0.031172871689159276,0.009053098586919219
2000-11-27,2041.155,2062.806,2031.931,2049.671,1058782600,-0.0018014288705884285,0.00909288083553368
2000-11-28,2052.776,2079.479,2052.776,2079.396,858896600,0.014502327446697771,0.009292969662203714
2000-11-29,2081.496,2082.901,2055.939,2067.495,994362900,-0.005723296572658687,0.009401521721874712
2000-11-30,2067.07,2072.291,2057.041,2070.613,846555000,0.0015081052191177058,0.009398485446098278
2000-12-01,2073.089,2082.028,2071.495,2081.843,1228528600,0.005423514678986274,0.009387365703841117
2000-12-04,2084.484,2092.323,2077.809,2092.139,1422885000,0.004945617897219146,0.009389094576096855
2000-12-05,2094.994,2097.289,2085.8,2091.67,1389586400,-0.00022417248567141446,0.009408175803634502
2000-12-06,2092.996,2095.436,2070.349,2075.627,1138332500,-0.007669947936338017,0.009567429701928587
2000-12-07,2072.531,2078.142,2060.729,2075.044,968736100,-0.00028087898259177013,0.009378848377522396
2000-12-08,2074.566,2083.271,2069.66,2073.163,1158323500,-0.0009064868022075068,0.00926866913555504
2000-12-11,2072.283,2072.476,2039.003,2046.076,1198653400,-0.013065542844436284,0.009391368243275596
2000-12-12,2045.17,2059.053,2037.901,2059.053,1099182900,0.006342384153863234,0.009368018201065087
2000-12-13,2057.383,2059.601,2050.178,2056.12,938510200,-0.0014244412358497271,0.00936742988737497
2000-12-14,2056.998,2059.273,2046.938,2051.079,1419281300,-0.0024517051533955447,0.009212567471917553
2000-12-15,2052.793,2055.609,2036.881,2039.364,1320590700,-0.005711627879764869,0.009271704847701167
2000-12-18,2038.448,2044.56,2024.286,2044.545,1126258800,0.0025404979199397104,0.009236926495941097
2000-12-19,2047.348,2056.757,2046.029,2049.032,1136818300,0.0021946203189462388,0.00926992793876655
2000-12-20,2050.068,2071.309,2048.642,2071.268,1192071800,0.010851953507802659,0.009471803373563273
2000-12-21,2075.562,2086.939,2074.336,2076.886,1249834900,0.0027123481847834974,0.009467793983356433
2000-12-22,2078.426,2079.967,2066.223,2069.768,1203266100,-0.0034272463678796106,0.0063183423753823045
2000-12-25,2071.567,2075.213,2062.036,2068.174,1206101300,-0.0007701346237839468,0.006303477729108179
2000-12-26,2070.377,2076.408,2068.813,2076.266,1042805500,0.00391263017521748,0.005449505431815472
2000-12-27,2077.718,2079.762,2055.998,2058.244,1176163200,-0.008680005355768405,0.005647693977103579
2000-12-28,2054.517,2061.051,2047.742,2053.704,1384240000,-0.0022057637481269765,0.0056493189141607995
2000-12-29,2055.828,2073.878,2055.505,2073.477,1365868000,0.0096279697561088,0.005947577379793086
