target,model,feature,coefficient
future_signbalance_5,Macro_SummaryOLS,m2_delta1_m1,-0.003907
future_signbalance_5,Macro_SummaryOLS,m2_delta1_avg12,-0.290219
future_signbalance_5,Macro_SummaryOLS,epu_log_m1,-0.582958
future_signbalance_5,Macro_SummaryOLS,epu_log_avg12,0.522445
future_signbalance_5,Macro_SummaryOLS,epu_log_delta1_m1,-0.000211
future_signbalance_5,Macro_SummaryOLS,epu_log_delta1_avg12,1.807134
future_signbalance_5,Macro_SummaryOLS,fx_log_m1,14.515627
future_signbalance_5,Macro_SummaryOLS,fx_log_avg12,-13.304713
future_signbalance_5,Macro_SummaryOLS,fx_ret1_m1,0.617498
future_signbalance_5,Macro_SummaryOLS,fx_ret1_avg12,-91.104827
future_signbalance_5,Macro_Ridge,cpi_yoy_m1,-0.001447
future_signbalance_5,Macro_Ridge,cpi_yoy_avg12,-0.000975
future_signbalance_5,Macro_Ridge,cpi_delta1_m1,0.000321
future_signbalance_5,Macro_Ridge,cpi_delta1_avg12,-0.134814
future_signbalance_5,Macro_Ridge,ppi_yoy_m1,-0.000497
future_signbalance_5,Macro_Ridge,ppi_yoy_avg12,-0.00045
future_signbalance_5,Macro_Ridge,ppi_delta1_m1,-0.004263
future_signbalance_5,Macro_Ridge,ppi_delta1_avg12,-0.057035
future_signbalance_5,Macro_Ridge,m2_yoy_m1,0.001937
future_signbalance_5,Macro_Ridge,m2_yoy_avg12,0.001955
future_signbalance_5,Macro_Ridge,m2_delta1_m1,-7.9e-05
future_signbalance_5,Macro_Ridge,m2_delta1_avg12,-0.011127
future_signbalance_5,Macro_Ridge,epu_log_m1,-0.004416
future_signbalance_5,Macro_Ridge,epu_log_avg12,-0.001307
future_signbalance_5,Macro_Ridge,epu_log_delta1_m1,-0.048652
future_signbalance_5,Macro_Ridge,epu_log_delta1_avg12,-0.220978
future_signbalance_5,Macro_Ridge,fx_log_m1,0.025988
future_signbalance_5,Macro_Ridge,fx_log_avg12,0.032361
future_signbalance_5,Macro_Ridge,fx_ret1_m1,0.069938
future_signbalance_5,Macro_Ridge,fx_ret1_avg12,-3.671567
future_signbalance_5,Macro_PCR,PC1,0.262548
future_signbalance_5,Macro_PCR,PC2,0.141933
future_signbalance_5,Factor_OLS,price_factor_m1,0.000978
future_signbalance_5,Factor_OLS,price_factor_avg12,-0.049481
