Window,Model,Variable,Coefficient/Importance
R_60d,Ridge_15dim,ppi_m1,0.0016762447861525859
R_60d,Ridge_15dim,ppi_m3avg,0.0013649877554231752
R_60d,Ridge_15dim,ppi_m12avg,-0.0022740114705282225
R_60d,Ridge_15dim,m2_growth_m1,0.0014050792881551617
R_60d,Ridge_15dim,m2_growth_m3avg,0.002294556622438398
R_60d,Ridge_15dim,m2_growth_m12avg,0.0009481417686395346
R_60d,Ridge_15dim,epu_m1,0.0015704435190343482
R_60d,Ridge_15dim,epu_m3avg,0.0021692402791052947
R_60d,Ridge_15dim,epu_m12avg,0.0008437975483418833
R_60d,Ridge_15dim,usd_cny_m1,0.008381565534455883
R_60d,Ridge_15dim,usd_cny_m3avg,0.007706274990789858
R_60d,Ridge_15dim,usd_cny_m12avg,0.0012034487053530919
R_60d,ElasticNet_60dim,cpi_lagm1,0.0
R_60d,ElasticNet_60dim,cpi_lagm2,0.0
R_60d,ElasticNet_60dim,cpi_lagm3,0.0
R_60d,ElasticNet_60dim,cpi_lagm4,0.0
R_60d,ElasticNet_60dim,cpi_lagm5,0.0
R_60d,ElasticNet_60dim,cpi_lagm6,0.0
R_60d,ElasticNet_60dim,cpi_lagm7,0.0
R_60d,ElasticNet_60dim,cpi_lagm8,0.0
R_60d,ElasticNet_60dim,cpi_lagm9,0.0
R_60d,ElasticNet_60dim,cpi_lagm10,0.0
R_60d,ElasticNet_60dim,cpi_lagm11,0.0
R_60d,ElasticNet_60dim,cpi_lagm12,-0.0
R_60d,ElasticNet_60dim,ppi_lagm1,-0.0
R_60d,ElasticNet_60dim,ppi_lagm2,-0.0
R_60d,ElasticNet_60dim,ppi_lagm3,-0.0
R_60d,ElasticNet_60dim,ppi_lagm4,-0.0
R_60d,ElasticNet_60dim,ppi_lagm5,-0.0
R_60d,ElasticNet_60dim,ppi_lagm6,-0.0
R_60d,ElasticNet_60dim,ppi_lagm7,-0.0
R_60d,ElasticNet_60dim,ppi_lagm8,-0.0
R_60d,ElasticNet_60dim,ppi_lagm9,-0.0
R_60d,ElasticNet_60dim,ppi_lagm10,-0.0
R_60d,ElasticNet_60dim,ppi_lagm11,-0.0
R_60d,ElasticNet_60dim,ppi_lagm12,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm1,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm2,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm3,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm4,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm5,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm6,0.0
R_60d,ElasticNet_60dim,m2_growth_lagm7,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm8,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm9,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm10,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm11,-0.0
R_60d,ElasticNet_60dim,m2_growth_lagm12,-0.0
R_60d,ElasticNet_60dim,epu_lagm1,0.0
R_60d,ElasticNet_60dim,epu_lagm2,0.0
R_60d,ElasticNet_60dim,epu_lagm3,0.0
R_60d,ElasticNet_60dim,epu_lagm4,0.0
R_60d,ElasticNet_60dim,epu_lagm5,0.0
R_60d,ElasticNet_60dim,epu_lagm6,0.0
R_60d,ElasticNet_60dim,epu_lagm7,0.0
R_60d,ElasticNet_60dim,epu_lagm8,0.0
R_60d,ElasticNet_60dim,epu_lagm9,0.0
R_60d,ElasticNet_60dim,epu_lagm10,0.0
R_60d,ElasticNet_60dim,epu_lagm11,-0.0
R_60d,ElasticNet_60dim,epu_lagm12,-0.0
R_60d,ElasticNet_60dim,usd_cny_lagm1,0.019912644427917212
R_60d,ElasticNet_60dim,usd_cny_lagm2,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm3,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm4,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm5,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm6,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm7,0.0
R_60d,ElasticNet_60dim,usd_cny_lagm8,-0.0
R_60d,ElasticNet_60dim,usd_cny_lagm9,-0.0
R_60d,ElasticNet_60dim,usd_cny_lagm10,-0.0
R_60d,ElasticNet_60dim,usd_cny_lagm11,-0.0
R_60d,ElasticNet_60dim,usd_cny_lagm12,-0.0
R_60d,ElasticNet_15dim,cpi_m1,0.0
R_60d,ElasticNet_15dim,cpi_m3avg,0.0
R_60d,ElasticNet_15dim,cpi_m12avg,0.0
R_60d,ElasticNet_15dim,ppi_m1,0.0
R_60d,ElasticNet_15dim,ppi_m3avg,0.0
R_60d,ElasticNet_15dim,ppi_m12avg,-0.0
R_60d,ElasticNet_15dim,m2_growth_m1,0.0
R_60d,ElasticNet_15dim,m2_growth_m3avg,0.0
R_60d,ElasticNet_15dim,m2_growth_m12avg,0.0
R_60d,ElasticNet_15dim,epu_m1,0.0
R_60d,ElasticNet_15dim,epu_m3avg,0.0
R_60d,ElasticNet_15dim,epu_m12avg,0.0
R_60d,ElasticNet_15dim,usd_cny_m1,0.020283042869294006
R_60d,ElasticNet_15dim,usd_cny_m3avg,0.012714965751550816
R_60d,ElasticNet_15dim,usd_cny_m12avg,0.0
R_60d,PCR_60dim,cpi_lagm1,0.0004119821057017175
R_60d,PCR_60dim,cpi_lagm2,0.000491003256595453
R_60d,PCR_60dim,cpi_lagm3,0.0005587346550244951
R_60d,PCR_60dim,cpi_lagm4,0.0006233226130605581
R_60d,PCR_60dim,cpi_lagm5,0.0006809467179111385
R_60d,PCR_60dim,cpi_lagm6,0.0007273749108345944
R_60d,PCR_60dim,cpi_lagm7,0.0007487134200680479
R_60d,PCR_60dim,cpi_lagm8,0.0007482055019844032
R_60d,PCR_60dim,cpi_lagm9,0.0007301487637878323
R_60d,PCR_60dim,cpi_lagm10,0.0006732590073569765
R_60d,PCR_60dim,cpi_lagm11,0.0006020992238865046
R_60d,PCR_60dim,cpi_lagm12,0.0005196766549714118
R_60d,PCR_60dim,ppi_lagm1,0.0006947971971188732
R_60d,PCR_60dim,ppi_lagm2,0.0006537936260768832
R_60d,PCR_60dim,ppi_lagm3,0.0005855230655474615
