date,market_return,abnormal_return,abs_ar,hs300_close,hs300_volume,ivix,north_flow,margin_balance,usd_cny,gdp_growth,cpi,ppi,m2_growth,epu,volatility_20d,volatility_60d,momentum_5d,momentum_10d,momentum_20d,volume_ratio_5d,volume_ratio_20d,intraday_range,sentiment_zscore,sentiment_level,amihud
2018-06-14,-0.0039523918002057,-0.0021040720595804,0.0021040720595804,3773.366,6847132200,19.62,28.0602,9672.3,639.62,12.4,1.8,4.1,8.3,465.41684,0.0103468314644519,0.0105422286761423,-0.0149411682933077,-0.0073027920359161,-0.0227178438569617,0.9507193510251472,0.8870538521213808,0.0129629619814244,0.0175750566635092,中性,0.0057723316634748
2018-06-15,-0.0052822864254354,0.0020297471076244,0.0020297471076244,3753.434,8548889300,20.02,26.2838,9589.5,643.06,12.4,1.8,4.1,8.3,465.41684,0.0100348983977083,0.0105299819601575,-0.0068074208916588,-0.0042253055193804,-0.038096529113572,1.1799570320032369,1.098358337027482,0.0114319313993532,-0.4315948913320489,中性,0.0061789154591526
2018-06-19,-0.0352522516714027,0.0024984886738301,0.0024984886738301,3621.117,16070654200,23.67,-21.1157,9374.4,642.35,12.4,1.8,4.1,8.3,465.41684,0.0123600247830083,0.0113999316585844,-0.0421565077971172,-0.0492874303962691,-0.0780061474077102,1.7689179799243622,1.9782535196418265,0.0358439122513853,-5.541808102604624,极度恐惧,0.0219357913079871
2018-06-20,0.0039565139706891,0.0012366088320665,0.0012366088320665,3635.444,8671809800,21.14,7.5352,9316.9,645.86,12.4,1.8,4.1,8.3,465.41684,0.0124843579741595,0.0114212178382952,-0.0503616919509165,-0.055242203863421,-0.0702156441040495,0.9269451671367857,1.0600710685177903,0.0195745003911488,0.7318773399582382,中性,0.0045625008642246
2018-06-21,-0.0116846800555859,0.002006912207212,0.002006912207212,3592.965,9390855200,19.86,-9.1094,9241.8,647.06,12.4,1.8,4.1,8.3,465.41684,0.0124262583035287,0.0114435484875599,-0.0522150959819408,-0.0648555326958566,-0.0686841820596757,0.9480093079454216,1.140866555230839,0.0233993373161164,0.4967716638396073,中性,0.0124426155091668
2018-06-22,0.0044364473352789,-0.0004143599155479,0.0004143599155479,3608.905,7511786400,19.39,1.11570000000001,9193.8,648.04,12.4,1.8,4.1,8.3,465.41684,0.0125145896550546,0.0109105518249372,-0.0438262568464561,-0.0587674251397638,-0.057148134067205,0.7482754077420525,0.9088451343507822,0.0184596158668625,2.6829369212922227,极度贪婪,0.0059059817452729
2018-06-25,-0.0134187516712133,-0.0028905417160611,0.0028905417160611,3560.478,7987707800,20.49,-37.794,9172.8,648.93,12.4,1.8,4.1,8.3,465.41684,0.0127353337857885,0.0110037816672295,-0.0519627220922339,-0.0587701429838928,-0.067766156122094,0.8046801352590663,0.961169727338428,0.0202194761489889,2.331999253833346,极度贪婪,0.0167992520597878
2018-06-26,-0.0082480498404989,-0.0030622304754436,0.0030622304754436,3531.111,8498526900,20.6,23.6324,9177.9,651.8,12.4,1.8,4.1,8.3,465.41684,0.0126422046445214,0.0109598652625796,-0.0249585202613301,-0.0671150280584473,-0.0804061904467983,1.0102696470279404,1.014419573183107,0.0180025493392872,-0.2087093680353315,中性,0.0097052700280315
2018-06-27,-0.0203474204011144,-0.0093332133748027,0.0093332133748027,3459.262,8149181700,22.15,-12.5065,9163.5,655.69,12.4,1.8,4.1,8.3,465.41684,0.0131432081038272,0.0110224868208904,-0.0492624546331338,-0.0996241465840503,-0.0931227692144206,0.9809295489933592,0.9727555990623236,0.0277145818963698,0.0562520308066531,中性,0.0249686669780776
2018-06-28,-0.0103305271471199,-0.0009884236613113,0.0009884236613113,3423.526,7591805100,22.9,8.05000000000001,9143.7,659.6,12.4,1.8,4.1,8.3,465.41684,0.0126382841728576,0.0108978532502876,-0.0479083017246677,-0.1001233977066086,-0.0822553969874854,0.9552081822354704,0.912757060265889,0.0175576291811424,0.3286714725295888,中性,0.0136074714920169
